|character|text|type|character_clean|gender
0||"WALKING TALL
Written by
Mort Briskin & David Klass"|unknown||
1||IMSDb|location||
2||"INTRO
Inspired by a true story.
We home in on a boat coming in to shore. Off walks a man, he
is carrying a backpack and wearing shades."|stage direction||
3||EXT. TOWN|location||
4||"He walks through a town, passing various stores and the general
bustle of the people there. He notices a baby in a pram left
out on the sidewalk, then sees the mother is in an alleyway doing
what looks like a drug deal."|stage direction||
5||EXT. LUMBER YARD|location||
6||"Chris reads a closure notice on the door. A police car rolls
up."|stage direction||
7|SHERIFF WATKINS|How ya doin'?|speech|SHERIFF WATKINS|?
8|CHRIS|Ok. When'd the mill close?|speech|CHRIS|M
9|SHERIFF WATKINS|"Ahh 3 years this August. If ya lookin
for work you might wanna try Aberdeen,
that's the closest mill work you're
gonna find around here."|speech|SHERIFF WATKINS|?
10|CHRIS|That's too bad.|speech|CHRIS|M
11|SHERIFF WATKINS|"Nah just simple economics. Y'know we
have a really nice casino here, the
wild cherry. You wanna make some money
maybe you wanna go on down there and
try your luck at the blackjack tables."|speech|SHERIFF WATKINS|?
12|CHRIS|Nah I don't think so. Thanks.|speech|CHRIS|M
13||Chris turns around and the sheriff notices his name on a bag.|stage direction||
14|SHERIFF WATKINS|You're Chris Vaughn?|speech|SHERIFF WATKINS|?
15||The sheriff chuckles and steps out of the car.|stage direction||
16|SHERIFF WATKINS|"Well hell, I know all about you Chris.
I know your folks, I'm sheriff Stan
Watkins."|speech|SHERIFF WATKINS|?
17||They shake hands.|stage direction||
18|CHRIS|How ya doin.|speech|CHRIS|M
19|SHERIFF WATKINS|"Ralston get outta the car, you're lookin
at a real soldier here pay some respect."|speech|SHERIFF WATKINS|?
20|RALSTON|Welcome home soldier.|speech|RALSTON|F
21|CHRIS|Thanks.|speech|CHRIS|M
22|SHERIFF WATKINS|"Here Chris, (opens the back door) We'll
give ya a ride up to your folks."|speech|SHERIFF WATKINS|?
23|CHRIS|Nah I'm fine thank you.|speech|CHRIS|M
24|SHERIFF WATKINS|I insist.|speech|SHERIFF WATKINS|?
25|CHRIS|I'll walk.|speech|CHRIS|M
26|SHERIFF WATKINS|Hey it's my pleasure.|speech|SHERIFF WATKINS|?
27|CHRIS|It's ok.|speech|CHRIS|M
28|SHERIFF WATKINS|"I won't take no for an answer (jokingly
reaches for his gun). HEY! Get in the
car."|speech|SHERIFF WATKINS|?
29||Chris raises his hands and the sheriff chuckles.|stage direction||
30|SHERIFF WATKINS|Did I scare ya with that one?|speech|SHERIFF WATKINS|?
31|CHRIS|Lil bit.|speech|CHRIS|M
32|SHERIFF WATKINS|Ya. Let's go.|speech|SHERIFF WATKINS|?
33||INT. POLICE CAR|location||
34|SHERIFF WATKINS|You were gone a while huh?|speech|SHERIFF WATKINS|?
35|CHRIS|8 years. Harstad was sheriff back then.|speech|CHRIS|M
36|SHERIFF WATKINS|"Harstad, yeah. Sad story. About 5 months
back he fell asleep at the wheel and
uhhh... hit a tree. Good man, good man
and a good sheriff."|speech|SHERIFF WATKINS|?
37||EXT. THE FAMILY HOME|location||
38|CHRIS|Thanks for the ride.|speech|CHRIS|M
39|SHERIFF WATKINS|"No problem, and uh Chris (hands him
a piece of paper). It's election month...
I'm your man."|speech|SHERIFF WATKINS|?
40||"Chris takes the paper and smiles. He walks up the lane toward
the house, a simple white building clad in wood. A lady dressed
in a police uniform comes out."|stage direction||
41|MICHELLE|Can I help you?|speech|MICHELLE|M
42||Chris laughs.|stage direction||
43|MICHELLE|"Lil' brother.. You come over here and
gimme a hug."|speech|MICHELLE|M
44||They laugh together.|stage direction||
45|MICHELLE|You look great.|speech|MICHELLE|M
46|CHRIS|What is this?|speech|CHRIS|M
47|MICHELLE|"Hey, I couldn't let you be the only
one looking good in uniform. Hey ma!
Chris is here!"|speech|MICHELLE|M
48|CHRIS|"What's with the tent? (points to a tent
set up on the lawn)."|speech|CHRIS|M
49|MICHELLE|Oh, that's for Pete.|speech|MICHELLE|M
50|CONNIE|Look at you!|speech|CONNIE|M
51|CHRIS|How ya doin!|speech|CHRIS|M
52||"Chris hugs his mother, Connie. A man slowly emerges from the
front door."|stage direction||
53|CONNIE|How long do we have ya for?|speech|CONNIE|M
54|CHRIS|For good. I'm home.|speech|CHRIS|M
55|CONNIE|Really? You're not kiddin.|speech|CONNIE|M
56|CHRIS|No.|speech|CHRIS|M
57||They hug again.|stage direction||
58|CHRIS|Hey dad.|speech|CHRIS|M
59|DAD|Welcome back.|speech|DAD|M
60||INT. KITCHEN|location||
61||The family are eating takeaway.|stage direction||
62|CONNIE|"I wish you would have told me you were
coming I would've cooked."|speech|CONNIE|M
63|CHRIS|This is great.|speech|CHRIS|M
64|MICHELLE|"So what are you gonna do now that you're
home?"|speech|MICHELLE|M
65|CHRIS|"Well I was planning on working at the
mill, your letters never mentioned that
it was closed."|speech|CHRIS|M
66|CONNIE|"We didn't wanna bother you with our
problems when your father got laid off."|speech|CONNIE|M
67|DAD|"I got my business, you saw the furniture
outside."|speech|DAD|M
68|CONNIE|"I substitute at the elementary school,
Michelle pitches in. We try to keep
things simple."|speech|CONNIE|M
69||A kid walks in.|stage direction||
70|MICHELLE|Pete! This is your Uncle Chris.|speech|MICHELLE|M
71|CHRIS|Hey Pete.|speech|CHRIS|M
72|MICHELLE|"Sit down, say hello. Last time he saw
you you were barely walking."|speech|MICHELLE|M
73|PETE|And now I'm camping.|speech|PETE|M
74|MICHELLE|"I said you could sleep on the couch.
It was Chris' room first."|speech|MICHELLE|M
75|CHRIS|"Your tent's gonna take on water. I could
show ya how to rig it."|speech|CHRIS|M
76|PETE|"Doesn't look like it's gonna rain to
me Colonel."|speech|PETE|M
77|MICHELLE|"Pete, cmon sit down, have somethin to
eat."|speech|MICHELLE|M
78|CHRIS|"First of all I was a sergeant. I worked
for a living."|speech|CHRIS|M
79|PETE|Did you ever smoke anybody?|speech|PETE|M
80|CONNIE|Pete!|speech|CONNIE|M
81|MICHELLE|Pete!|speech|MICHELLE|M
82|PETE|"Y'know, Papa's still got your gun locked
up in the garage. Think you could teach
me how to shoot?"|speech|PETE|M
83|CHRIS|"I figured that'd be scrap metal by now
dad."|speech|CHRIS|M
84|DAD|"No, I'm still hoping that you'll melt
that thing down on your own."|speech|DAD|M
85|CHRIS|Sorry Pete.|speech|CHRIS|M
86|PETE|Whatever. I'm outta here Mom.|speech|PETE|M
87|MICHELLE|Okay, be back by ten.|speech|MICHELLE|M
88|PETE|Ten thirty (as he walks out)|speech|PETE|M
89|MICHELLE|Ten!|speech|MICHELLE|M
90|DAD|Remind you of anyone?|speech|DAD|M
91||INT. BEDROOM|location||
92||"We can see from the window that it's raining heavily outside.
Chris sets about unpacking his things. Pete comes in looking
wet."|stage direction||
93|PETE|Ok it rained. Happy?|speech|PETE|M
94|CHRIS|No. Why dontcha crash on the floor?|speech|CHRIS|M
95||Pete looks at him.|stage direction||
96|CHRIS|"Ok, I'll crash on the floor, you crash
on the bed."|speech|CHRIS|M
97|PETE|uh uh. (starts walking out)|speech|PETE|M
98|CHRIS|Pete. (hands him a towel). Keep ya dry.|speech|CHRIS|M
99|PETE|Did you really kill people?|speech|PETE|M
100||Chris looks at him.|stage direction||
101||EXT. OUTSIDE THE HOUSE|location||
102||A crappy camper van rolls up. A man steps out.|stage direction||
103|CHRIS|Ray Ray! Ahaaa.|speech|CHRIS|M
104|RAY|Hello puddin'.|speech|RAY|M
105||They hug.|stage direction||
106|CHRIS|How ya doin?|speech|CHRIS|M
107|RAY|I'm alright.|speech|RAY|M
108|CHRIS|What is that? (points to the van)|speech|CHRIS|M
109|RAY|That's the lovemachine.|speech|RAY|M
110|CHRIS|Girls actually get in there?|speech|CHRIS|M
111||Ray shrugs.|stage direction||
112|CHRIS|How ya been?|speech|CHRIS|M
113|RAY|Good. Clean livin.|speech|RAY|M
114|CHRIS|Wanna beer?|speech|CHRIS|M
115|RAY|"No. Believe it or not I quit drinkin.
I'll take a soda though."|speech|RAY|M
116|CHRIS|Here.|speech|CHRIS|M
117|RAY|Thanks man.|speech|RAY|M
118|CHRIS|"Whoah. (spots a tattoo of a guitar on
Ray's arm)."|speech|CHRIS|M
119|RAY|"Ya like that? When you left town it
gave me the idea that I should do something
with my life too so uhh I went down
to Seattle, got a guitar and became
all about music. And then pretty soon
I was about music and drugs, n pretty
soon I was basically just about drugs.
Ended up doin 2 years for B+E."|speech|RAY|M
120|CHRIS|I'm sorry.|speech|CHRIS|M
121|RAY|"Nahh, look at me now though right? I
been clean and sober for 14 months,
doing construction and renewing those
supportive and healthy friendships from
my past. Matter of fact I talked to
the bastards, told em you were back
and they asked me to politely remind
you that kick off's in twenty minutes."|speech|RAY|M
122||EXT. FOOTBALL FIELD|location||
123||"A group of guys are there waiting, one of them holding a ball.
They salute as Chris walks up. They all laugh."|stage direction||
124|CHRIS|Playin ball?|speech|CHRIS|M
125|ALL|Let's play ball!|speech|ALL|M
126|JIMMY|"Ray go deep go deep! (as Ray runs off
he throws the ball into Ray's back)."|speech|JIMMY|M
127|CHRIS|"(Spotting a sign that reads 'HAMILTON
FIELD') When did that happen?"|speech|CHRIS|M
128|JIMMY|"His parents hadn't left him the mill
more than 2 minutes before he shut it
down."|speech|JIMMY|M
129|CHRIS|Why?|speech|CHRIS|M
130||"a voice shouts 'HEADS UP' Chris catches a fast ball thrown from
behind. Jay steps out of his vehicle."|stage direction||
131|JAY|Cause I opened my Casino.|speech|JAY|M
132|CHRIS|Still got a gut huh Jay?|speech|CHRIS|M
133|JAY|"Still got your reflexes. What, you get
tired of being all that you can be?"|speech|JAY|M
134|CHRIS|I'm still all I can be.|speech|CHRIS|M
135|JAY|"Really? I'll just have to see about
that. What brings you home?"|speech|JAY|M
136|CHRIS|I just wanna relax, catch my breath.|speech|CHRIS|M
137|JAY|You? Relax?|speech|JAY|M
138||Another truck with a few guys on it pulls up|stage direction||
139|JAY|Not today.|speech|JAY|M
140||"A football game ensues, there are two teams. Jay's guys vs Chris'
guys. On the sidelines Pete pulls up on a small motorcycle. Chris
notices Pete hanging around with kids smoking. It comes down
to the last play, the teams are huddled into two groups talking."|stage direction||
141|RAY|If we score here we win right?|speech|RAY|M
142|CHRIS|"Alright boys, last play. We need to
put this to rest."|speech|CHRIS|M
143|RAY|Just give me the ball.|speech|RAY|M
144|CHRIS|You got it. On the first hut!|speech|CHRIS|M
145|JAY|Ok Vaughn, last chance.|speech|JAY|M
146||"Chris gets the ball and throws it. An opponent comes in hard
and tackles him low. He collapses. Ray runs for the ball but
gets clotheslined by Jay."|stage direction||
147|JAY|That's game!|speech|JAY|M
148|OPPONENT|(to Chris) Sorry about that.|speech|OPPONENT|M
149|CHRIS|That's cool man.|speech|CHRIS|M
150||Chris Helps Ray onto his feet.|stage direction||
151|JAY|Welcome home.|speech|JAY|M
152|CHRIS|Good to be back.|speech|CHRIS|M
153|JAY|"See ya round. Hey, if you're not doing
anythin later on you could come by the
casino. I'll introduce ya to some nice
girls, drinks are on me. Whaddya say?"|speech|JAY|M
154|CHRIS|See ya tonight.|speech|CHRIS|M
155|JAY|Cool.|speech|JAY|M
156||Jay speeds off in his car. Pete rolls up on his bike.|stage direction||
157|PETE|Hey Sarge, good game. Maybe next time.|speech|PETE|M
158|CHRIS|"Hold up. Maybe next time I won't see
you with the bleachers smoking weed."|speech|CHRIS|M
159|RAY|Welcome home buddy.|speech|RAY|M
160||EXT. OUTSIDE THE WILD CHERRY CASINO|location||
161|CHRIS|"Don't you have to be native american
to own a casino?"|speech|CHRIS|M
162|JIMMY|"Oh Hamilton's one sixteenth black man
now."|speech|JIMMY|M
163|FRIEND 2|"Just so you guys know, I'm gonna triple
my money tonight."|speech|FRIEND 2|?
164|FRIEND 3|"Yea, like last time. Wound up selling
your body for bus fare."|speech|FRIEND 3|?
165|FRIEND 4|He had to walk!|speech|FRIEND 4|?
166||They all laugh.|stage direction||
167|CHRIS|"Nobody's gonna have any problems finding
this place."|speech|CHRIS|M
168|RAY|"It's the subtle attention to aesthetics
that I find most impressive, blends
in with the mountains SO nicely."|speech|RAY|M
169||INT. WILD CHERRY CASINO|location||
170||The place is packed with gambling tables and attractive women.|stage direction||
171|FRIEND|Not bad huh?|speech|FRIEND|M
172|CHRIS|Not bad.|speech|CHRIS|M
173|RAY|"Isn't it wonderful? All your gambling
needs under one great big roof. You
got your ATM machine, tellers to cash
your paycheck, and when you're here
you don't gotta worry about those lil
things like child support, rent, the
laws of mathematical probability."|speech|RAY|M
174|WORKER|"Gentlemen, Mr Hamilton would like to
invite you to the VIP lounge."|speech|WORKER|?
175|RAY|Oh, 'Mister' Hamilton.|speech|RAY|M
176||INT. VIP LOUNGE|location||
177|JAY|Heyyy, the dream team!|speech|JAY|M
178|CHRIS|Nice place.|speech|CHRIS|M
179|JAY|"Yeah well. Welcome to my world. Look
tonight, all the drinks are on the house.
If you need a line of credit, say how
much. And if you need a lil female companionship...
done. Alright? Have a good time."|speech|JAY|M
180|CHRIS|Where you goin?|speech|CHRIS|M
181|JAY|"Don't you worry about me, I've got a
few things to do. Enjoy."|speech|JAY|M
182|RAY|"Just remember, nothin in here's free.
C'mon, this place is nothin but fake
boobs and real assholes if ya ask me.
Just water for me."|speech|RAY|M
183|FRIENDS|Here's to you Chris.|speech|FRIENDS|M
184||They all down some drinks. They lead Chris down a corridor.|stage direction||
185|FRIEND|Don't say we never did nothin' for ya!|speech|FRIEND|M
186|FRIEND 2|"Don't worry, everybody's a lil scared
the first time. Get in there, sit back
and enjoy."|speech|FRIEND 2|?
187||"Chris' friends have led him to a stripping booth, his friend
inserts the money."|stage direction||
188|FRIEND 2|"If you're not back by morning we'll
send a search party for you."|speech|FRIEND 2|?
189|CHRIS|Bye! No drinking.|speech|CHRIS|M
190||"His friends leave, closing the door behind them.
A screen goes up and a striptease begins. The lady is dressed
in the style of a firewoman and has a pole in the center of the
stage. She dances around the pole and removes clothes."|stage direction||
191|STRIPPER|So you from here or just visiting.|speech|STRIPPER|?
192|CHRIS|Lil of both, I grew up here.|speech|CHRIS|M
193|STRIPPER|So you've seen all the old faces.|speech|STRIPPER|?
194|CHRIS|Could say that.|speech|CHRIS|M
195|STRIPPER|Your voice sounds very familiar.|speech|STRIPPER|?
196||The lights come on.|stage direction||
197|STRIPPER|Chris...|speech|STRIPPER|?
198|CHRIS|Deni..|speech|CHRIS|M
199||The screen goes down again, Chris leaves the booth.|stage direction||
200||INT. CASINO|location||
201|FRIEND 1|Look who's back.|speech|FRIEND 1|?
202|FRIEND 2|So, good surprise?|speech|FRIEND 2|?
203|FRIEND 1|"Told you it was better than gambling.
You met Candy? (A girl is dancing on
their table)"|speech|FRIEND 1|?
204|CHRIS|Hey Candy. (to the guys) Let's go.|speech|CHRIS|M
205||INT. CRAPS TABLE|location||
206|CROUPIER|6! Easy 6 for a win!|speech|CROUPIER|M
207|JIMMY|(To some girls) We can do a 6.|speech|JIMMY|M
208|JIMMY|"(To Chris) We're gettin killed out here.
I need you to put 200 down for the bet."|speech|JIMMY|M
209|CHRIS|No, hell no.|speech|CHRIS|M
210|FRIEND 3|Look at them (Nods to girls).|speech|FRIEND 3|?
211|CHRIS|Ok.|speech|CHRIS|M
212|CROUPIER|Five hundred on 6?|speech|CROUPIER|M
213|JIMMY|Yes, I'm in. Boom! Gimme some dice.|speech|JIMMY|M
214||Chris notices something odd, he looks concerned.|stage direction||
215|CROUPIER|Lookin' for a 6.|speech|CROUPIER|M
216|CHRIS|Jimmy. Don't roll. Gimme the dice.|speech|CHRIS|M
217|CROUPIER|Lookin' for a 6. Ohhhhh.|speech|CROUPIER|M
218||The dice have landed and it's a 7. Jimmy hangs his head.|stage direction||
219|CHRIS|"(To the croupier) You're good, but I
saw it."|speech|CHRIS|M
220|CROUPIER|Saw what?|speech|CROUPIER|M
221|CHRIS|I saw the switch.|speech|CHRIS|M
222|CROUPIER|Hey this is a clean game asshole.|speech|CROUPIER|M
223|CHRIS|Yea?|speech|CHRIS|M
224|CROUPIER|Yea.|speech|CROUPIER|M
225|CHRIS|Let's see about that.|speech|CHRIS|M
226||Chris puts a load of money on the table.|stage direction||
227|CHRIS|Bet you I'll roll a seven.|speech|CHRIS|M
228|CROUPIER|"It's not your roll sir. SIR! It's not
your roll. Call security."|speech|CROUPIER|M
229||Chris has taken the dice.|stage direction||
230|CHRIS|"Put your bets down on the pass line.
These dice are comin up seven."|speech|CHRIS|M
231|JIMMY|Chris, why don't we just let it go?|speech|JIMMY|M
232|CHRIS|"No, we gonna let it ride Jimmy. The
dice are comin up seven."|speech|CHRIS|M
233|CROUPIER|It's not your roll sir.|speech|CROUPIER|M
234||Chris rolls the dice and sure enough it's a seven.|stage direction||
235|COMMISSIONER|No folks, no payout.|speech|COMMISSIONER|?
236|CHRIS|"(To croupier) Why don't you just take
care of that bet and we're even."|speech|CHRIS|M
237|CROUPIER|"Well I would but it wasn't a legitimate
bet, you're not the shooter. It's not
your (Chris shoves him) ROLL sir."|speech|CROUPIER|M
238|SECURITY GUY|Is there a problem?|speech|SECURITY GUY|M
239|CHRIS|"Yea, the problem is your dice are loaded.
Does your boss know about this? Just
gimme my money."|speech|CHRIS|M
240||"The security guy grabs Chris around the neck. Chris elbows him
and throws him onto the table. The croupier takes a fighting
stance. Jimmy taps Chris on the shoulder."|stage direction||
241|JIMMY|Come on, let's go! let's go!|speech|JIMMY|M
242||"More security men appear, one of them knocks Jimmy out. A whole
fight breaks out, Ray gets knocked out. Chris beats off several
security men before taking an electric shock to the neck and
a baton to the face. Chris wakes up on a table under a light."|stage direction||
243|BAD GUY 1|"(Sees the tag around Chris' neck) Special
forces? I'll take that."|speech|BAD GUY 1|?
244||Chris grabs him by the neck but they beat him down again.|stage direction||
245|BAD GUY 2|What are you doin?|speech|BAD GUY 2|?
246|BAD GUY 1|"(Has a scalpel in his hand) Special
forces... special treatment."|speech|BAD GUY 1|?
247||He rips open Chris' shirt.|stage direction||
248|BAD GUY 2|This guy knows Hamilton!|speech|BAD GUY 2|?
249||A struggle ensues and Chris' chest is cut up.|stage direction||
250||EXT. A BRIDGE|location||
251||"We see Chris is crawling, badly hurt. A truck stops directly
in front of him. Chris passes out again."|stage direction||
252||INT. HOSPITAL|location||
253|DOCHRIS|"(To Chris' family) Folks, he's pretty
banged up, inside and out. Whoever did
this left him for dead. A lesser man
wouldn't have survived."|speech|DOCHRIS|?
254|SHERIFF WATKINS|"I'm gonna need a statement from him
Doctor."|speech|SHERIFF WATKINS|?
255|DOCHRIS|He's in no condition to give you one.|speech|DOCHRIS|?
256|SHERIFF WATKINS|"I'll also need a copy of your write-up
along with toxicoloy, blood alcohol
level and so on."|speech|SHERIFF WATKINS|?
257|MICHELLE|What are you talkin about Stan?|speech|MICHELLE|M
258|SHERIFF WATKINS|I'm just tryin to get some facts here.|speech|SHERIFF WATKINS|?
259|MICHELLE|"Oh come on you need to be out arresting
whoever tried to kill my brother not
testing his BLOOD."|speech|MICHELLE|M
260|SHERIFF WATKINS|"I'm just doing my job Michelle. Ok?
I understand how you feel. But we still
don't know yet who started all of this."|speech|SHERIFF WATKINS|?
261|CONNIE|Well it wasn't Chris.|speech|CONNIE|M
262|DAD|Just find out who did this to him Stan.|speech|DAD|M
263|SHERIFF WATKINS|"I'll do my best Mr Vaughn. I really
will. In the meantime I have to file
a full report. You lemme know when I
can talk to him."|speech|SHERIFF WATKINS|?
264||The doctor nods.|stage direction||
265|SHERIFF WATKINS|Thank you.|speech|SHERIFF WATKINS|?
266|DOCHRIS|He's gonna be fine Michelle.|speech|DOCHRIS|?
267|MICHELLE|Thanks.|speech|MICHELLE|M
268||INT. HOSPITAL WARD|location||
269||Ray goes into a room and takes a big bunch of flowers from there.|stage direction||
270|NURSE|BEAUTIFUL flowers!|speech|NURSE|?
271|RAY|Thank you, they're for my best friend.|speech|RAY|M
272||INT. CHRIS HOSPITAL BED|location||
273|RAY|"Hey sarge, so much for our VIP... status.
Don't they teach you any fighting skills
in the army."|speech|RAY|M
274|CHRIS|How did you do?|speech|CHRIS|M
275|RAY|"Not good. But I tell you, that guy was
feelin me this morning."|speech|RAY|M
276||Chris begins to laugh but is in pain.|stage direction||
277|RAY|You okay?|speech|RAY|M
278|CHRIS|Some homecoming hey.|speech|CHRIS|M
279|RAY|"I don't know if you've noticed but this
aint exactly home any more."|speech|RAY|M
280||EXT. FAMILY HOUSE|location||
281||"Chris has returned home. He's still in bad shape and his parents
help him out of the car. He insists on taking the steps by himself."|stage direction||
282|PETE|There's some old crutches in the garage.|speech|PETE|M
283||Chris laughs.|stage direction||
284||INT. LOUNGE|location||
285||"A montage ensues with Chris on the couch, sometimes with Ray,
other times with Pete. Chris is recovering, and is exercising
by the end of it."|stage direction||
286||INT. GARAGE|location||
287||"Chris pulls the cover off an old truck. He smiles and gets in.
He starts the engine."|stage direction||
288|DAD|Changed the plugs a while back.|speech|DAD|M
289|CHRIS|Appreciate that Dad.|speech|CHRIS|M
290|DAD|"I might've had serious issues with your
career choice but just didn't seem fair
to take it out on an innocent truck.
Where you headin?"|speech|DAD|M
291|CHRIS|"I was goin into town to get some supplies.
Wanna come?"|speech|CHRIS|M
292|DAD|Let's go.|speech|DAD|M
293||INT. CAR|location||
294|DAD|"Ya whole life, all you wanted to do
was get outta here. What made you come
back."|speech|DAD|M
295|CHRIS|"You gonna think I'm crazy. I been thinking
about the mill. When I was a kid goin
to visit you at work, the smell of that
fresh-cut cedar. You remember that smell."|speech|CHRIS|M
296|DAD|"Mmm I remember a lotta nice things before
the mill closed."|speech|DAD|M
297|CHRIS|"When did they go outta business? (Nods
to a closed supply store)."|speech|CHRIS|M
298|DAD|"Closed about six months ago. There's
a home depot about fifteen minutes up
the road."|speech|DAD|M
299|CHRIS|And that? (Nods to an adult XXX shop)|speech|CHRIS|M
300|DAD|Don't ask.|speech|DAD|M
301||They laugh.|stage direction||
302||EXT. OUTSIDE THE HOUSE|location||
303||Jay pulls up in his car.|stage direction||
304|JAY|Hey. First of all I wanna say thanks.|speech|JAY|M
305|CHRIS|For what?|speech|CHRIS|M
306|JAY|"He's been fired, and his gaming permit's
been pulled. I don't know how my security
cameras didn't catch that."|speech|JAY|M
307||"Jay starts to help Chris taking wood off the truck but Chris
throws it back on."|stage direction||
308|CHRIS|"They miss a lot at your place don't
they Jay."|speech|CHRIS|M
309|JAY|Look Chris I hate seein ya like this.|speech|JAY|M
310|CHRIS|Your boys did it.|speech|CHRIS|M
311|JAY|"Wait wait... so they got a little rough,
they were a bit edgy. Understandably.
You don't know what kind of assholes
they have to put up with on a daily
basis. Look, they've been reprimanded.
They say you went nuts man. I'm sorry.
I know the proper term vets use is post
traumatic stress."|speech|JAY|M
312|CHRIS|What the fuck are you talking about?|speech|CHRIS|M
313|JAY|"Whatever it was, you tore my place apart
and it wasn't easy for me to get my
guys agree not to press charges. Look
Chris, if you had a problem... shouldn't
you have come to me? Look, I wanna bring
you inside. Chris I wanna make you head
of security. Whaddya say?"|speech|JAY|M
314|CHRIS|No.|speech|CHRIS|M
315|JAY|"Ah well. I guess you probably need time
to think about it. This is for you.
It's a little something to help you
get... Y'know.."|speech|JAY|M
316||"He puts down an envelope with money in it. Chris gives it back
to him."|stage direction||
317|JAY|"Come on man, don't be like that. I came
all the way out here to your house just
to see you get back on your feet."|speech|JAY|M
318|CHRIS|I'm goin to the sheriff.|speech|CHRIS|M
319|JAY|"I'm sorry you feel that way. I'll see
ya round Chris."|speech|JAY|M
320||INT. POLICE STATION|location||
321|CHRIS|Excuse me.|speech|CHRIS|M
322||An officer is on the phone ignoring him.|stage direction||
323|CHRIS|Excuse me.|speech|CHRIS|M
324||The sheriff comes out.|stage direction||
325|SHERIFF WATKINS|"Well hey Chris. Good to see you up and
about, you're lookin spiffy."|speech|SHERIFF WATKINS|?
326|CHRIS|I'm here to press charges.|speech|CHRIS|M
327|SHERIFF WATKINS|"Well this isn't about that incident
at the casino a while back is it?"|speech|SHERIFF WATKINS|?
328|CHRIS|Yea, it is.|speech|CHRIS|M
329|SHERIFF WATKINS|Cause that matter's closed.|speech|SHERIFF WATKINS|?
