;classement;titre;annee;duree;categorie;realisateur
0;1.;The Dark Knight;(2008);152 min;"
Action, Crime, Drama            ";Christopher Nolan
1;2.;Iron Man;(2008);126 min;"
Action, Adventure, Sci-Fi            ";Jon Favreau
2;3.;Indiana Jones and the Kingdom of the Crystal Skull;(2008);122 min;"
Action, Adventure, Fantasy            ";Steven Spielberg
3;4.;Hancock;(2008);92 min;"
Action, Crime, Drama            ";Peter Berg
4;5.;WALL·E;(2008);98 min;"
Animation, Adventure, Family            ";Andrew Stanton
5;6.;Kung Fu Panda;(2008);92 min;"
Animation, Action, Adventure            ";Mark Osborne
6;7.;Twilight;(I) (2008);122 min;"
Drama, Fantasy, Romance            ";Catherine Hardwicke
7;8.;Madagascar: Escape 2 Africa;(2008);89 min;"
Animation, Action, Adventure            ";Eric Darnell
8;9.;Quantum of Solace;(2008);106 min;"
Action, Adventure            ";Marc Forster
9;10.;Horton Hears a Who!;(2008);86 min;"
Animation, Adventure, Comedy            ";Jimmy Hayward
10;11.;Sex and the City;(2008);145 min;"
Comedy, Drama, Romance            ";Michael Patrick King
11;12.;Gran Torino;(2008);116 min;"
Drama            ";Clint Eastwood
12;13.;Taken;(I) (2008);93 min;"
Action, Thriller            ";Pierre Morel
13;14.;Mamma Mia!;(2008);108 min;"
Comedy, Family, Musical            ";Phyllida Lloyd
14;15.;Marley & Me;(2008);115 min;"
Comedy, Drama, Family            ";David Frankel
15;16.;The Chronicles of Narnia: Prince Caspian;(2008);150 min;"
Action, Adventure, Family            ";Andrew Adamson
16;17.;Slumdog Millionaire;(2008);120 min;"
Drama            ";Danny Boyle
17;18.;Wanted;(2008);110 min;"
Action, Crime, Fantasy            ";Timur Bekmambetov
18;19.;The Incredible Hulk;(2008);112 min;"
Action, Adventure, Sci-Fi            ";Louis Leterrier
19;20.;Get Smart;(2008);110 min;"
Action, Adventure, Comedy            ";Peter Segal
20;21.;The Curious Case of Benjamin Button;(2008);166 min;"
Drama, Fantasy, Romance            ";David Fincher
21;22.;Tout... sauf en famille;(2008);88 min;"
Comedy, Drama, Romance            ";Seth Gordon
22;23.;Bolt;(2008);96 min;"
Animation, Adventure, Comedy            ";Byron Howard
23;24.;Tropic Thunder;(2008);107 min;"
Action, Comedy            ";Ben Stiller
24;25.;Bedtime Stories;(2008);99 min;"
Comedy, Family, Fantasy            ";Adam Shankman
25;26.;The Mummy: Tomb of the Dragon Emperor;(2008);112 min;"
Action, Adventure, Fantasy            ";Rob Cohen
26;27.;Journey to the Center of the Earth;(2008);93 min;"
Action, Adventure, Family            ";Eric Brevig
27;28.;Eagle Eye;(2008);118 min;"
Action, Mystery, Thriller            ";D.J. Caruso
28;29.;Step Brothers;(2008);98 min;"
Comedy            ";Adam McKay
29;30.;You Don't Mess with the Zohan;(2008);113 min;"
Action, Comedy            ";Dennis Dugan
30;31.;Yes Man;(2008);104 min;"
Comedy, Romance            ";Peyton Reed
31;32.;10,000 BC;(2008);109 min;"
Action, Adventure, Drama            ";Roland Emmerich
32;33.;Beverly Hills Chihuahua;(2008);91 min;"
Adventure, Comedy, Drama            ";Raja Gosnell
33;34.;High School Musical 3: Senior Year;(2008);112 min;"
Comedy, Drama, Family            ";Kenny Ortega
34;35.;Pineapple Express;(2008);111 min;"
Action, Comedy, Crime            ";David Gordon Green
35;36.;Valkyrie;(2008);121 min;"
Drama, History, Thriller            ";Bryan Singer
36;37.;21;(2008);123 min;"
Crime, Drama, Thriller            ";Robert Luketic
37;38.;What Happens in Vegas;(2008);99 min;"
Comedy, Romance            ";Tom Vaughan
38;39.;Jumper;(2008);88 min;"
Action, Adventure, Sci-Fi            ";Doug Liman
39;40.;Cloverfield;(2008);85 min;"
Action, Horror, Sci-Fi            ";Matt Reeves
40;41.;The Day the Earth Stood Still;(2008);104 min;"
Drama, Sci-Fi, Thriller            ";Scott Derrickson
41;42.;27 Dresses;(2008);111 min;"
Comedy, Romance            ";Anne Fletcher
42;43.;Hellboy II: The Golden Army;(2008);120 min;"
Action, Adventure, Fantasy            ";Guillermo del Toro
43;44.;Vantage Point;(2008);90 min;"
Crime, Drama, Mystery            ";Pete Travis
44;45.;The Spiderwick Chronicles;(2008);96 min;"
Adventure, Family, Fantasy            ";Mark Waters
45;46.;Fool's Gold;(I) (2008);112 min;"
Action, Adventure, Comedy            ";Andy Tennant
46;47.;Seven Pounds;(2008);123 min;"
Drama, Romance            ";Gabriele Muccino
47;48.;Les grands frères;(2008);99 min;"
Comedy            ";David Wain
48;49.;Hannah Montana & Miley Cyrus: Best of Both Worlds Concert;(2008);74 min;"
Documentary, Music            ";Bruce Hendricks
49;50.;The Happening;(2008);91 min;"
Sci-Fi, Thriller            ";M. Night Shyamalan
50;51.;Forgetting Sarah Marshall;(2008);111 min;"
Comedy, Drama, Romance            ";Nicholas Stoller
51;52.;Burn After Reading;(2008);96 min;"
Comedy, Drama            ";Ethan Coen
52;53.;Baby Mama;(2008);99 min;"
Comedy, Romance            ";Michael McCullers
53;54.;Step Up 2: The Streets;(2008);98 min;"
Drama, Music, Romance            ";Jon M. Chu
54;55.;Saw V;(2008);92 min;"
Horror, Mystery            ";David Hackl
55;56.;The Strangers;(2008);86 min;"
Horror, Mystery, Thriller            ";Bryan Bertino
56;57.;The Tale of Despereaux;(2008);93 min;"
Animation, Adventure, Comedy            ";Sam Fell
57;58.;Australia;(2008);165 min;"
Adventure, Drama, Romance            ";Baz Luhrmann
58;59.;The House Bunny;(2008);97 min;"
Comedy, Romance            ";Fred Wolf
59;60.;Nim's Island;(2008);96 min;"
Adventure, Comedy, Family            ";Jennifer Flackett
60;61.;Made of Honor;(2008);101 min;"
Comedy, Romance            ";Paul Weiland
61;62.;College Road Trip;(2008);83 min;"
Adventure, Comedy, Drama            ";Roger Kumble
62;63.;The Sisterhood of the Traveling Pants 2;(2008);119 min;"
Comedy, Drama, Family            ";Sanaa Hamri
63;64.;Speed Racer;(2008);135 min;"
Action, Family, Sci-Fi            ";Lana Wachowski
64;65.;Prom Night;(I) (2008);88 min;"
Horror, Mystery            ";Nelson McCormick
65;66.;Rambo;(2008);92 min;"
Action, Thriller, War            ";Sylvester Stallone
66;67.;Welcome Home, Roscoe Jenkins;(2008);114 min;"
Comedy, Romance            ";Malcolm D. Lee
67;68.;Meet the Browns;(2008);100 min;"
Comedy, Drama, Romance            ";Tyler Perry
68;69.;Nights in Rodanthe;(2008);97 min;"
Drama, Romance            ";George C. Wolfe
69;70.;Max Payne;(2008);100 min;"
Action, Crime, Drama            ";John Moore
70;71.;Righteous Kill;(2008);101 min;"
Action, Crime, Drama            ";Jon Avnet
71;72.;Body of Lies;(2008);128 min;"
Action, Drama, Romance            ";Ridley Scott
72;73.;Lakeview Terrace;(2008);110 min;"
Crime, Drama, Thriller            ";Neil LaBute
73;74.;Meet the Spartans;(2008);86 min;"
Comedy            ";Jason Friedberg
74;75.;Harold & Kumar Escape from Guantanamo Bay;(2008);104 min;"
Adventure, Comedy            ";Jon Hurwitz
75;76.;First Sunday;(2008);96 min;"
Comedy, Crime, Drama            ";David E. Talbert
76;77.;The Secret Life of Bees;(2008);114 min;"
Drama            ";Gina Prince-Bythewood
77;78.;The Family That Preys;(2008);111 min;"
Drama            ";Tyler Perry
78;79.;Death Race;(2008);105 min;"
Action, Sci-Fi, Thriller            ";Paul W.S. Anderson
79;80.;Changeling;(2008);141 min;"
Biography, Crime, Drama            ";Clint Eastwood
80;81.;Star Wars: The Clone Wars;(2008);98 min;"
Animation, Action, Adventure            ";Dave Filoni
81;82.;The Reader;(2008);124 min;"
Drama, Romance            ";Stephen Daldry
82;83.;Semi-Pro;(2008);91 min;"
Comedy, Sport            ";Kent Alterman
83;84.;Fireproof;(2008);122 min;"
Drama, Romance            ";Alex Kendrick
84;85.;Doubt;(I) (2008);104 min;"
Drama, Mystery            ";John Patrick Shanley
85;86.;Drillbit Taylor;(2008);110 min;"
Comedy, Drama            ";Steven Brill
86;87.;The Love Guru;(2008);87 min;"
Comedy, Romance, Sport            ";Marco Schnabel
87;88.;Definitely, Maybe;(2008);112 min;"
Comedy, Drama, Romance            ";Adam Brooks
88;89.;Milk;(I) (2008);128 min;"
Biography, Drama, History            ";Gus Van Sant
89;90.;Quarantine;(2008);89 min;"
Horror, Sci-Fi, Thriller            ";John Erick Dowdle
90;91.;Nick and Norah's Infinite Playlist;(2008);90 min;"
Comedy, Drama, Music            ";Peter Sollett
91;92.;Zack and Miri Make a Porno;(2008);101 min;"
Comedy, Romance            ";Kevin Smith
92;93.;The Eye;(2008);98 min;"
Horror, Mystery            ";David Moreau
93;94.;Le transporteur 3;(2008);104 min;"
Action, Adventure, Crime            ";Olivier Megaton
94;95.;Leatherheads;(2008);114 min;"
Comedy, Drama, Romance            ";George Clooney
95;96.;Mirrors;(I) (2008);110 min;"
Horror, Mystery            ";Alexandre Aja
96;97.;Space Chimps;(2008);81 min;"
Animation, Adventure, Comedy            ";Kirk De Micco
97;98.;The Bank Job;(2008);111 min;"
Crime, Drama, Romance            ";Roger Donaldson
98;99.;Untraceable;(2008);101 min;"
Crime, Mystery, Thriller            ";Gregory Hoblit
99;100.;Defiance;(I) (2008);137 min;"
Action, Drama, History            ";Edward Zwick
